validTimeUtc,globalHorizontalIrradiance,pressureMeanSeaLevel,temperature,uvIndex
2023-05-12T16:00:00+0000,323.6,29.99,59.8,2
2023-05-12T17:00:00+0000,490.0,29.99,61.3,3
2023-05-12T18:00:00+0000,614.6,29.99,62.0,4
2023-05-12T19:00:00+0000,862.4,29.98,63.1,4
2023-05-12T20:00:00+0000,977.8,29.96,64.5,8 
2023-05-12T21:00:00+0000,978.0,29.96,65.2,8
2023-05-12T22:00:00+0000,887.3,29.95,64.7,5
2023-05-12T23:00:00+0000,761.1,29.94,63.2,3
2023-05-13T00:00:00+0000,568.9,29.93,61.8,1
2023-05-13T01:00:00+0000,376.1,29.93,61.4,0
2023-05-13T02:00:00+0000,165.5,29.93,60.7,0
2023-05-13T03:00:00+0000,6.1,29.94,60.0,0
2023-05-13T04:00:00+0000,0.0,29.94,60.0,0
2023-05-13T05:00:00+0000,0.0,29.94,59.8,0
2023-05-13T06:00:00+0000,0.0,29.94,59.8,0
2023-05-13T07:00:00+0000,0.0,29.93,59.6,0
2023-05-13T08:00:00+0000,0.0,29.92,59.5,0
2023-05-13T09:00:00+0000,0.0,29.9,59.5,0
2023-05-13T10:00:00+0000,0.0,29.88,59.6,0
2023-05-13T11:00:00+0000,0.0,29.88,59.5,0
2023-05-13T12:00:00+0000,0.0,29.88,58.9,0
2023-05-13T13:00:00+0000,0.0,29.88,58.9,0
2023-05-13T14:00:00+0000,47.6,29.9,58.9,0
2023-05-13T15:00:00+0000,182.0,29.91,59.5,1
2023-05-13T16:00:00+0000,342.9,29.91,60.0,2
2023-05-13T17:00:00+0000,504.6,29.91,61.8,3
2023-05-13T18:00:00+0000,671.4,29.91,62.2,4
2023-05-13T19:00:00+0000,804.7,29.9,63.4,6
2023-05-13T20:00:00+0000,876.6,29.88,65.4,9
2023-05-13T21:00:00+0000,865.6,29.86,65.2,8
2023-05-13T22:00:00+0000,773.6,29.85,63.6,4
2023-05-13T23:00:00+0000,670.2,29.85,62.7,2
2023-05-14T00:00:00+0000,493.0,29.85,61.1,1
2023-05-14T01:00:00+0000,295.3,29.85,59.8,0
2023-05-14T02:00:00+0000,123.0,29.86,58.9,0
2023-05-14T03:00:00+0000,2.3,29.87,58.9,0
2023-05-14T04:00:00+0000,0.0,29.88,58.9,0
2023-05-14T05:00:00+0000,0.0,29.89,59.1,0
2023-05-14T06:00:00+0000,0.0,29.9,59.1,0
2023-05-14T07:00:00+0000,0.0,29.9,58.4,0
2023-05-14T08:00:00+0000,0.0,29.9,58.6,0
2023-05-14T09:00:00+0000,0.0,29.89,58.0,0
2023-05-14T10:00:00+0000,0.0,29.89,57.7,0
2023-05-14T11:00:00+0000,0.0,29.88,57.5,0
2023-05-14T12:00:00+0000,0.0,29.89,57.3,0
2023-05-14T13:00:00+0000,0.0,29.9,57.5,0
2023-05-14T14:00:00+0000,46.8,29.91,58.4,0
2023-05-14T15:00:00+0000,179.8,29.93,59.3,1
2023-05-14T16:00:00+0000,348.3,29.93,60.5,2
2023-05-14T17:00:00+0000,500.4,29.95,61.6,3
2023-05-14T18:00:00+0000,704.9,29.95,62.9,5
2023-05-14T19:00:00+0000,840.0,29.96,64.1,8
2023-05-14T20:00:00+0000,923.0,29.96,63.4,6
2023-05-14T21:00:00+0000,901.7,29.96,63.4,5
2023-05-14T22:00:00+0000,847.2,29.96,62.7,4
2023-05-14T23:00:00+0000,663.6,29.96,61.8,2
2023-05-15T00:00:00+0000,469.1,29.96,61.3,1
2023-05-15T01:00:00+0000,284.2,29.97,60.7,0
2023-05-15T02:00:00+0000,113.3,29.98,60.2,0
2023-05-15T03:00:00+0000,3.3,30.0,59.8,0
2023-05-15T04:00:00+0000,0.0,30.01,60.2,0
2023-05-15T05:00:00+0000,0.0,30.03,60.0,0
2023-05-15T06:00:00+0000,0.0,30.03,59.1,0
2023-05-15T07:00:00+0000,0.0,30.03,58.9,0
2023-05-15T08:00:00+0000,0.0,30.03,58.9,0
2023-05-15T09:00:00+0000,0.0,30.02,58.7,0
2023-05-15T10:00:00+0000,0.0,30.02,58.6,0
2023-05-15T11:00:00+0000,0.0,30.02,58.2,0
2023-05-15T12:00:00+0000,0.0,30.02,58.2,0
2023-05-15T13:00:00+0000,0.1,30.03,58.6,0
2023-05-15T14:00:00+0000,44.6,30.06,59.1,0
2023-05-15T15:00:00+0000,189.1,30.07,59.5,0
2023-05-15T16:00:00+0000,392.1,30.07,60.7,1
2023-05-15T17:00:00+0000,557.9,30.07,62.7,3
2023-05-15T18:00:00+0000,697.3,30.08,64.7,5
2023-05-15T19:00:00+0000,841.5,30.09,65.8,8
2023-05-15T20:00:00+0000,927.5,30.09,66.7,9
2023-05-15T21:00:00+0000,854.6,30.09,66.3,8
2023-05-15T22:00:00+0000,773.0,30.08,65.6,5
2023-05-15T23:00:00+0000,670.6,30.07,64.9,3
2023-05-16T00:00:00+0000,512.9,30.06,63.8,1
2023-05-16T01:00:00+0000,323.0,30.06,63.1,0
2023-05-16T02:00:00+0000,139.3,30.03,62.7,0
2023-05-16T03:00:00+0000,5.4,30.06,60.7,0
2023-05-16T04:00:00+0000,0.0,30.07,60.0,0
