validTimeUtc             , Month, Day, Hour, globalHorizontalIrradiance, pressureMeanSeaLevel, temperature, uvIndex, DC Array Output (W), AC System Output (W)
2023-05-12 16:00:00+00:00,     5,  12,   16,                      323.6,                29.99,        59.8,       2,             959.53 ,              909.675
2023-05-12 17:00:00+00:00,     5,  12,   17,                      490.0,                29.99,        61.3,       3,             607.916,              570.521
2023-05-12 18:00:00+00:00,     5,  12,   18,                      614.6,                29.99,        62.0,       4,             104.381,               84.828
2023-05-12 19:00:00+00:00,     5,  12,   19,                      862.4,                29.98,        63.1,       4,               0.0  ,                0.0
2023-05-12 20:00:00+00:00,     5,  12,   20,                      977.8,                29.96,        64.5,       8,               0.0  ,                0.0
2023-05-12 21:00:00+00:00,     5,  12,   21,                      978.0,                29.96,        65.2,       8,               0.0  ,                0.0
2023-05-12 22:00:00+00:00,     5,  12,   22,                      887.3,                29.95,        64.7,       5,               0.0  ,                0.0
2023-05-12 23:00:00+00:00,     5,  12,   23,                      761.1,                29.94,        63.2,       3,               0.0  ,                0.0
2023-05-13 00:00:00+00:00,     5,  13,    0,                      568.9,                29.93,        61.8,       1,               0.0  ,                0.0
2023-05-13 01:00:00+00:00,     5,  13,    1,                      376.1,                29.93,        61.4,       0,               0.0  ,                0.0
2023-05-13 02:00:00+00:00,     5,  13,    2,                      165.5,                29.93,        60.7,       0,               0.0  ,                0.0
2023-05-13 03:00:00+00:00,     5,  13,    3,                        6.1,                29.94,        60.0,       0,               0.0  ,                0.0
2023-05-13 04:00:00+00:00,     5,  13,    4,                        0.0,                29.94,        60.0,       0,               0.0  ,                0.0
2023-05-13 05:00:00+00:00,     5,  13,    5,                        0.0,                29.94,        59.8,       0,              66.85 ,               48.627
2023-05-13 06:00:00+00:00,     5,  13,    6,                        0.0,                29.94,        59.8,       0,             491.459,              458.191
2023-05-13 07:00:00+00:00,     5,  13,    7,                        0.0,                29.93,        59.6,       0,            1277.974,             1216.837
2023-05-13 08:00:00+00:00,     5,  13,    8,                        0.0,                29.92,        59.5,       0,            1854.412,             1772.849
2023-05-13 09:00:00+00:00,     5,  13,    9,                        0.0,                29.9 ,        59.5,       0,            2003.645,             1916.793
2023-05-13 10:00:00+00:00,     5,  13,   10,                        0.0,                29.88,        59.6,       0,            1886.549,             1803.847
2023-05-13 11:00:00+00:00,     5,  13,   11,                        0.0,                29.88,        59.5,       0,            1931.394,             1847.102
2023-05-13 12:00:00+00:00,     5,  13,   12,                        0.0,                29.88,        58.9,       0,            1661.994,             1587.248
2023-05-13 13:00:00+00:00,     5,  13,   13,                        0.0,                29.88,        58.9,       0,            1879.709,             1797.249
2023-05-13 14:00:00+00:00,     5,  13,   14,                       47.6,                29.9 ,        58.9,       0,            1766.474,             1688.026
2023-05-13 15:00:00+00:00,     5,  13,   15,                      182.0,                29.91,        59.5,       1,            1770.585,             1691.992
2023-05-13 16:00:00+00:00,     5,  13,   16,                      342.9,                29.91,        60.0,       2,             811.528,              766.918
2023-05-13 17:00:00+00:00,     5,  13,   17,                      504.6,                29.91,        61.8,       3,             379.806,              350.494
2023-05-13 18:00:00+00:00,     5,  13,   18,                      671.4,                29.91,        62.2,       4,              18.12 ,                1.623
2023-05-13 19:00:00+00:00,     5,  13,   19,                      804.7,                29.9 ,        63.4,       6,               0.0  ,                0.0
2023-05-13 20:00:00+00:00,     5,  13,   20,                      876.6,                29.88,        65.4,       9,               0.0  ,                0.0
2023-05-13 21:00:00+00:00,     5,  13,   21,                      865.6,                29.86,        65.2,       8,               0.0  ,                0.0
2023-05-13 22:00:00+00:00,     5,  13,   22,                      773.6,                29.85,        63.6,       4,               0.0  ,                0.0
