Month,Day,Hour,DC Array Output (W),AC System Output (W)
1,1,0,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,0.0,0.0
1,1,8,969.261,919.062
1,1,9,1892.408,1809.498
1,1,10,2452.008,2349.269
1,1,11,2762.991,2649.233
1,1,12,2807.941,2692.591
1,1,13,2590.998,2483.334
1,1,14,2128.815,2037.528
1,1,15,1407.5,1341.772
1,1,16,342.719,314.721
1,1,17,0.0,0.0
1,1,18,0.0,0.0
1,1,19,0.0,0.0
1,1,20,0.0,0.0
1,1,21,0.0,0.0
1,1,22,0.0,0.0
1,1,23,0.0,0.0
1,2,0,0.0,0.0
1,2,1,0.0,0.0
1,2,2,0.0,0.0
1,2,3,0.0,0.0
1,2,4,0.0,0.0
1,2,5,0.0,0.0
1,2,6,0.0,0.0
1,2,7,0.0,0.0
1,2,8,958.219,908.411
1,2,9,1852.324,1770.834
1,2,10,2415.247,2313.811
1,2,11,2705.631,2593.906
1,2,12,2758.732,2645.125
1,2,13,2552.416,2446.119
1,2,14,2118.38,2027.463
1,2,15,1402.135,1336.598
1,2,16,355.181,326.741
1,2,17,0.0,0.0
1,2,18,0.0,0.0
1,2,19,0.0,0.0
1,2,20,0.0,0.0
1,2,21,0.0,0.0
1,2,22,0.0,0.0
1,2,23,0.0,0.0
1,3,0,0.0,0.0
1,3,1,0.0,0.0
1,3,2,0.0,0.0
1,3,3,0.0,0.0
1,3,4,0.0,0.0
1,3,5,0.0,0.0
1,3,6,0.0,0.0
1,3,7,0.0,0.0
1,3,8,986.557,935.745
1,3,9,1550.684,1479.883
1,3,10,2112.033,2021.341
1,3,11,2134.933,2043.43
1,3,12,2684.18,2573.215
1,3,13,2162.479,2070.0
1,3,14,1435.011,1368.309
1,3,15,220.766,197.089
1,3,16,41.698,24.366
1,3,17,0.0,0.0
1,3,18,0.0,0.0
1,3,19,0.0,0.0
1,3,20,0.0,0.0
1,3,21,0.0,0.0
1,3,22,0.0,0.0
1,3,23,0.0,0.0
1,4,0,0.0,0.0
1,4,1,0.0,0.0
1,4,2,0.0,0.0
1,4,3,0.0,0.0
1,4,4,0.0,0.0
1,4,5,0.0,0.0
1,4,6,0.0,0.0
1,4,7,0.0,0.0
1,4,8,47.536,29.997
1,4,9,171.68,149.742
1,4,10,197.376,174.528
1,4,11,192.51,169.834
1,4,12,373.726,344.629
1,4,13,127.087,106.73
1,4,14,576.903,540.606
1,4,15,127.354,106.988
1,4,16,296.398,270.041
1,4,17,0.0,0.0
1,4,18,0.0,0.0
1,4,19,0.0,0.0
1,4,20,0.0,0.0
1,4,21,0.0,0.0
1,4,22,0.0,0.0
1,4,23,0.0,0.0
1,5,0,0.0,0.0
1,5,1,0.0,0.0
1,5,2,0.0,0.0
1,5,3,0.0,0.0
1,5,4,0.0,0.0
1,5,5,0.0,0.0
1,5,6,0.0,0.0
1,5,7,0.0,0.0
1,5,8,46.872,29.356
1,5,9,114.323,94.418
1,5,10,201.327,178.339
1,5,11,216.778,193.243
1,5,12,460.44,428.271
1,5,13,442.26,410.735
1,5,14,182.924,160.588
1,5,15,207.839,184.62
1,5,16,38.197,20.989
1,5,17,0.0,0.0
1,5,18,0.0,0.0
1,5,19,0.0,0.0
1,5,20,0.0,0.0
1,5,21,0.0,0.0
1,5,22,0.0,0.0
1,5,23,0.0,0.0
1,6,0,0.0,0.0
1,6,1,0.0,0.0
1,6,2,0.0,0.0
1,6,3,0.0,0.0
1,6,4,0.0,0.0
1,6,5,0.0,0.0
1,6,6,0.0,0.0
1,6,7,0.0,0.0
1,6,8,902.866,855.02
1,6,9,1784.226,1705.149
1,6,10,2349.185,2250.09
1,6,11,2631.625,2522.522
1,6,12,2695.56,2584.191
1,6,13,2500.825,2396.357
1,6,14,2088.024,1998.183
1,6,15,1396.843,1331.493
1,6,16,419.954,389.219
1,6,17,0.0,0.0
1,6,18,0.0,0.0
1,6,19,0.0,0.0
1,6,20,0.0,0.0
1,6,21,0.0,0.0
1,6,22,0.0,0.0
1,6,23,0.0,0.0
1,7,0,0.0,0.0
1,7,1,0.0,0.0
1,7,2,0.0,0.0
1,7,3,0.0,0.0
1,7,4,0.0,0.0
1,7,5,0.0,0.0
1,7,6,0.0,0.0
1,7,7,0.0,0.0
1,7,8,176.397,154.292
1,7,9,1026.348,974.126
1,7,10,1450.69,1383.432
1,7,11,2594.012,2486.241
1,7,12,2691.072,2579.862
1,7,13,2517.426,2412.37
1,7,14,2071.115,1981.873
1,7,15,1366.342,1302.073
1,7,16,403.284,373.14
1,7,17,0.0,0.0
1,7,18,0.0,0.0
1,7,19,0.0,0.0
1,7,20,0.0,0.0
1,7,21,0.0,0.0
1,7,22,0.0,0.0
1,7,23,0.0,0.0
1,8,0,0.0,0.0
1,8,1,0.0,0.0
1,8,2,0.0,0.0
1,8,3,0.0,0.0
1,8,4,0.0,0.0
1,8,5,0.0,0.0
1,8,6,0.0,0.0
1,8,7,0.0,0.0
1,8,8,468.986,436.513
1,8,9,1756.928,1678.819
1,8,10,2355.259,2255.948
1,8,11,2705.037,2593.332
1,8,12,2767.799,2653.871
1,8,13,2563.97,2457.264
1,8,14,2126.794,2035.579
1,8,15,1425.437,1359.074
1,8,16,457.48,425.415
1,8,17,0.0,0.0
1,8,18,0.0,0.0
1,8,19,0.0,0.0
1,8,20,0.0,0.0
1,8,21,0.0,0.0
1,8,22,0.0,0.0
1,8,23,0.0,0.0
1,9,0,0.0,0.0
1,9,1,0.0,0.0
1,9,2,0.0,0.0
1,9,3,0.0,0.0
1,9,4,0.0,0.0
1,9,5,0.0,0.0
1,9,6,0.0,0.0
1,9,7,0.0,0.0
1,9,8,162.557,140.942
1,9,9,371.537,342.517
1,9,10,970.883,920.627
1,9,11,1690.769,1615.004
1,9,12,2837.936,2721.522
1,9,13,2668.922,2558.497
1,9,14,2215.461,2121.104
1,9,15,1488.024,1419.443
1,9,16,495.074,461.678
1,9,17,0.0,0.0
1,9,18,0.0,0.0
1,9,19,0.0,0.0
1,9,20,0.0,0.0
1,9,21,0.0,0.0
1,9,22,0.0,0.0
1,9,23,0.0,0.0
1,10,0,0.0,0.0
1,10,1,0.0,0.0
1,10,2,0.0,0.0
1,10,3,0.0,0.0
1,10,4,0.0,0.0
1,10,5,0.0,0.0
1,10,6,0.0,0.0
1,10,7,0.0,0.0
1,10,8,919.733,871.289
1,10,9,1826.343,1745.774
1,10,10,2394.056,2293.371
1,10,11,2697.965,2586.511
1,10,12,2754.989,2641.514
1,10,13,2597.81,2489.905
1,10,14,2176.795,2083.808
1,10,15,1480.214,1411.909
1,10,16,501.334,467.716
1,10,17,0.0,0.0
1,10,18,0.0,0.0
1,10,19,0.0,0.0
1,10,20,0.0,0.0
1,10,21,0.0,0.0
1,10,22,0.0,0.0
1,10,23,0.0,0.0
1,11,0,0.0,0.0
1,11,1,0.0,0.0
1,11,2,0.0,0.0
1,11,3,0.0,0.0
1,11,4,0.0,0.0
1,11,5,0.0,0.0
1,11,6,0.0,0.0
1,11,7,0.0,0.0
1,11,8,66.13,47.933
1,11,9,86.376,67.461
1,11,10,98.437,79.094
1,11,11,471.25,438.698
1,11,12,226.591,202.708
1,11,13,19.873,3.314
1,11,14,63.012,44.925
1,11,15,75.618,57.084
1,11,16,91.386,72.293
1,11,17,0.0,0.0
1,11,18,0.0,0.0
1,11,19,0.0,0.0
1,11,20,0.0,0.0
1,11,21,0.0,0.0
1,11,22,0.0,0.0
1,11,23,0.0,0.0
1,12,0,0.0,0.0
1,12,1,0.0,0.0
1,12,2,0.0,0.0
1,12,3,0.0,0.0
1,12,4,0.0,0.0
1,12,5,0.0,0.0
1,12,6,0.0,0.0
1,12,7,0.0,0.0
1,12,8,64.397,46.26
1,12,9,52.931,35.201
1,12,10,219.04,195.425
1,12,11,538.396,503.464
1,12,12,285.662,259.685
1,12,13,498.54,465.02
1,12,14,390.601,360.906
1,12,15,119.686,99.591
1,12,16,58.981,41.037
1,12,17,0.0,0.0
1,12,18,0.0,0.0
1,12,19,0.0,0.0
1,12,20,0.0,0.0
1,12,21,0.0,0.0
1,12,22,0.0,0.0
1,12,23,0.0,0.0
1,13,0,0.0,0.0
1,13,1,0.0,0.0
1,13,2,0.0,0.0
1,13,3,0.0,0.0
1,13,4,0.0,0.0
1,13,5,0.0,0.0
1,13,6,0.0,0.0
1,13,7,0.0,0.0
1,13,8,121.874,101.701
1,13,9,192.349,169.679
1,13,10,526.59,492.077
1,13,11,320.985,293.757
1,13,12,316.673,289.598
1,13,13,159.561,138.053
1,13,14,342.087,314.111
1,13,15,245.263,220.718
1,13,16,13.98,0.0
1,13,17,0.0,0.0
1,13,18,0.0,0.0
1,13,19,0.0,0.0
1,13,20,0.0,0.0
1,13,21,0.0,0.0
1,13,22,0.0,0.0
1,13,23,0.0,0.0
1,14,0,0.0,0.0
1,14,1,0.0,0.0
1,14,2,0.0,0.0
1,14,3,0.0,0.0
1,14,4,0.0,0.0
1,14,5,0.0,0.0
1,14,6,0.0,0.0
1,14,7,0.0,0.0
1,14,8,26.992,10.181
1,14,9,112.524,92.683
1,14,10,335.036,307.31
1,14,11,173.979,151.96
1,14,12,234.191,210.038
1,14,13,224.864,201.042
1,14,14,56.035,38.195
1,14,15,374.102,344.991
1,14,16,74.36,55.871
1,14,17,0.0,0.0
1,14,18,0.0,0.0
1,14,19,0.0,0.0
1,14,20,0.0,0.0
1,14,21,0.0,0.0
1,14,22,0.0,0.0
1,14,23,0.0,0.0
1,15,0,0.0,0.0
1,15,1,0.0,0.0
1,15,2,0.0,0.0
1,15,3,0.0,0.0
1,15,4,0.0,0.0
1,15,5,0.0,0.0
1,15,6,0.0,0.0
1,15,7,0.0,0.0
1,15,8,656.819,617.691
1,15,9,144.209,123.245
1,15,10,231.544,207.485
1,15,11,546.747,511.52
1,15,12,973.973,923.607
1,15,13,724.977,683.434
1,15,14,419.446,388.729
1,15,15,265.213,239.961
1,15,16,543.596,508.48
1,15,17,0.0,0.0
1,15,18,0.0,0.0
1,15,19,0.0,0.0
1,15,20,0.0,0.0
1,15,21,0.0,0.0
1,15,22,0.0,0.0
1,15,23,0.0,0.0
1,16,0,0.0,0.0
1,16,1,0.0,0.0
1,16,2,0.0,0.0
1,16,3,0.0,0.0
1,16,4,0.0,0.0
1,16,5,0.0,0.0
1,16,6,0.0,0.0
1,16,7,0.0,0.0
1,16,8,1092.079,1037.528
1,16,9,2094.848,2004.765
1,16,10,2735.418,2622.637
1,16,11,3095.859,2970.306
1,16,12,3167.862,3039.758
1,16,13,2985.309,2863.674
1,16,14,2517.41,2412.354
1,16,15,1759.697,1681.49
1,16,16,700.592,659.913
1,16,17,0.0,0.0
1,16,18,0.0,0.0
1,16,19,0.0,0.0
1,16,20,0.0,0.0
1,16,21,0.0,0.0
1,16,22,0.0,0.0
1,16,23,0.0,0.0
1,17,0,0.0,0.0
1,17,1,0.0,0.0
1,17,2,0.0,0.0
1,17,3,0.0,0.0
1,17,4,0.0,0.0
1,17,5,0.0,0.0
1,17,6,0.0,0.0
1,17,7,0.0,0.0
1,17,8,1096.374,1041.671
1,17,9,555.939,520.386
1,17,10,2710.913,2599.0
1,17,11,3049.799,2925.878
1,17,12,959.758,909.896
1,17,13,842.904,797.183
1,17,14,1195.379,1137.168
1,17,15,647.591,608.79
1,17,16,382.83,353.41
1,17,17,0.0,0.0
1,17,18,0.0,0.0
1,17,19,0.0,0.0
1,17,20,0.0,0.0
1,17,21,0.0,0.0
1,17,22,0.0,0.0
1,17,23,0.0,0.0
1,18,0,0.0,0.0
1,18,1,0.0,0.0
1,18,2,0.0,0.0
1,18,3,0.0,0.0
1,18,4,0.0,0.0
1,18,5,0.0,0.0
1,18,6,0.0,0.0
1,18,7,0.0,0.0
1,18,8,137.815,117.077
1,18,9,1269.278,1208.448
1,18,10,1497.556,1428.638
1,18,11,1782.792,1703.766
1,18,12,1343.988,1280.511
1,18,13,1401.653,1336.133
1,18,14,260.695,235.603
1,18,15,1589.492,1517.316
1,18,16,602.36,565.162
1,18,17,0.0,0.0
1,18,18,0.0,0.0
1,18,19,0.0,0.0
1,18,20,0.0,0.0
1,18,21,0.0,0.0
1,18,22,0.0,0.0
1,18,23,0.0,0.0
1,19,0,0.0,0.0
1,19,1,0.0,0.0
1,19,2,0.0,0.0
1,19,3,0.0,0.0
1,19,4,0.0,0.0
1,19,5,0.0,0.0
1,19,6,0.0,0.0
1,19,7,0.0,0.0
1,19,8,1071.369,1017.552
1,19,9,2011.317,1924.193
1,19,10,2617.595,2508.989
1,19,11,2954.031,2833.504
1,19,12,3030.697,2907.453
1,19,13,2851.133,2734.251
1,19,14,2415.862,2314.404
1,19,15,1100.422,1045.576
1,19,16,164.325,142.648
1,19,17,0.0,0.0
1,19,18,0.0,0.0
1,19,19,0.0,0.0
1,19,20,0.0,0.0
1,19,21,0.0,0.0
1,19,22,0.0,0.0
1,19,23,0.0,0.0
1,20,0,0.0,0.0
1,20,1,0.0,0.0
1,20,2,0.0,0.0
1,20,3,0.0,0.0
1,20,4,0.0,0.0
1,20,5,0.0,0.0
1,20,6,0.0,0.0
1,20,7,0.0,0.0
1,20,8,115.126,95.192
1,20,9,570.005,533.953
1,20,10,1116.003,1060.604
1,20,11,1092.308,1037.749
1,20,12,895.397,847.816
1,20,13,392.655,362.887
1,20,14,625.49,587.472
1,20,15,218.209,194.623
1,20,16,246.493,221.904
1,20,17,0.0,0.0
1,20,18,0.0,0.0
1,20,19,0.0,0.0
1,20,20,0.0,0.0
1,20,21,0.0,0.0
1,20,22,0.0,0.0
1,20,23,0.0,0.0
1,21,0,0.0,0.0
1,21,1,0.0,0.0
1,21,2,0.0,0.0
1,21,3,0.0,0.0
1,21,4,0.0,0.0
1,21,5,0.0,0.0
1,21,6,0.0,0.0
1,21,7,0.0,0.0
1,21,8,817.435,772.616
1,21,9,140.585,119.749
1,21,10,334.826,307.107
1,21,11,404.075,373.903
1,21,12,540.04,505.05
1,21,13,509.114,475.22
1,21,14,273.726,248.173
1,21,15,1431.976,1365.381
1,21,16,506.293,472.498
1,21,17,0.0,0.0
1,21,18,0.0,0.0
1,21,19,0.0,0.0
1,21,20,0.0,0.0
1,21,21,0.0,0.0
1,21,22,0.0,0.0
1,21,23,0.0,0.0
1,22,0,0.0,0.0
1,22,1,0.0,0.0
1,22,2,0.0,0.0
1,22,3,0.0,0.0
1,22,4,0.0,0.0
1,22,5,0.0,0.0
1,22,6,0.0,0.0
1,22,7,0.0,0.0
1,22,8,157.122,135.701
1,22,9,358.529,329.971
1,22,10,488.181,455.029
1,22,11,639.058,600.559
1,22,12,868.506,821.877
1,22,13,734.826,692.934
1,22,14,389.101,359.459
1,22,15,265.824,240.551
1,22,16,555.637,520.094
1,22,17,0.0,0.0
1,22,18,0.0,0.0
1,22,19,0.0,0.0
1,22,20,0.0,0.0
1,22,21,0.0,0.0
1,22,22,0.0,0.0
1,22,23,0.0,0.0
1,23,0,0.0,0.0
1,23,1,0.0,0.0
1,23,2,0.0,0.0
1,23,3,0.0,0.0
1,23,4,0.0,0.0
1,23,5,0.0,0.0
1,23,6,0.0,0.0
1,23,7,0.0,0.0
1,23,8,1036.283,983.709
1,23,9,2005.791,1918.863
1,23,10,2621.488,2512.744
1,23,11,2969.34,2848.271
1,23,12,3014.709,2892.032
1,23,13,2817.941,2702.236
1,23,14,2380.864,2280.647
1,23,15,1669.116,1594.118
1,23,16,688.342,648.097
1,23,17,0.0,0.0
1,23,18,0.0,0.0
1,23,19,0.0,0.0
1,23,20,0.0,0.0
1,23,21,0.0,0.0
1,23,22,0.0,0.0
1,23,23,0.0,0.0
1,24,0,0.0,0.0
1,24,1,0.0,0.0
1,24,2,0.0,0.0
1,24,3,0.0,0.0
1,24,4,0.0,0.0
1,24,5,0.0,0.0
1,24,6,0.0,0.0
1,24,7,0.0,0.0
1,24,8,999.037,947.783
1,24,9,203.38,180.32
1,24,10,411.855,381.407
1,24,11,316.479,289.41
1,24,12,531.738,497.042
1,24,13,692.617,652.22
1,24,14,391.618,361.888
1,24,15,1568.21,1496.788
1,24,16,620.78,582.929
1,24,17,0.0,0.0
1,24,18,0.0,0.0
1,24,19,0.0,0.0
1,24,20,0.0,0.0
1,24,21,0.0,0.0
1,24,22,0.0,0.0
1,24,23,0.0,0.0
1,25,0,0.0,0.0
1,25,1,0.0,0.0
1,25,2,0.0,0.0
1,25,3,0.0,0.0
1,25,4,0.0,0.0
1,25,5,0.0,0.0
1,25,6,0.0,0.0
1,25,7,0.0,0.0
